#   t/T       voltage          electron           ion       displacement       total
  0.0000    2.499619e+02    1.520044e+00   -2.012932e-02    0.000000e+00    1.499914e+00
  0.0050    2.497214e+02    1.160795e+00   -2.014992e-02    0.000000e+00    1.140645e+00
  0.0100    2.492344e+02   -1.592090e+00   -2.024104e-02    1.032439e+00   -5.798917e-01
  0.0150    2.485015e+02   -1.302752e+00   -2.027009e-02   -1.145914e+00   -2.468935e+00
  0.0200    2.475234e+02    1.289699e+00   -2.029344e-02   -1.920459e+00   -6.510541e-01
  0.0250    2.463009e+02   -4.670638e+00   -2.033124e-02    6.133606e-01   -4.077609e+00
  0.0300    2.448354e+02   -4.298725e+00   -2.038520e-02    6.111064e-01   -3.708004e+00
  0.0350    2.431283e+02   -4.634651e+00   -2.053886e-02    6.237486e-01   -4.031441e+00
  0.0400    2.411812e+02   -4.297241e+00   -2.055714e-02    9.149356e-01   -3.402863e+00
  0.0450    2.389961e+02   -8.045261e+00   -2.048149e-02    8.208032e-01   -7.244939e+00
  0.0500    2.365752e+02   -5.056948e+00   -2.046778e-02   -3.633786e-01   -5.440795e+00
  0.0550    2.339207e+02   -5.276296e+00   -2.046499e-02   -1.741570e+00   -7.038331e+00
  0.0600    2.310355e+02   -7.005392e+00   -2.047920e-02   -7.315877e-01   -7.757458e+00
  0.0650    2.279222e+02   -9.244977e+00   -2.064510e-02    1.826912e-01   -9.082931e+00
  0.0700    2.245840e+02   -7.817472e+00   -2.068051e-02    8.399706e-01   -6.998182e+00
  0.0750    2.210242e+02   -1.140418e+01   -2.066092e-02    7.610815e-01   -1.066376e+01
  0.0800    2.172462e+02   -1.003311e+01   -2.054258e-02    2.971416e-01   -9.756510e+00
  0.0850    2.132538e+02   -9.194984e+00   -2.045798e-02   -1.617527e+00   -1.083297e+01
  0.0900    2.090510e+02   -8.676363e+00   -2.045738e-02   -1.370639e+00   -1.006746e+01
  0.0950    2.046419e+02   -1.169082e+01   -2.048739e-02   -2.554557e-01   -1.196676e+01
  0.1000    2.000308e+02   -1.210562e+01   -2.051915e-02    7.087507e-01   -1.141739e+01
  0.1050    1.952223e+02   -1.353661e+01   -2.055187e-02    1.489360e+00   -1.206780e+01
  0.1100    1.902211e+02   -1.518259e+01   -2.056593e-02    1.252150e+00   -1.395101e+01
  0.1150    1.850323e+02   -1.226355e+01   -2.052227e-02    1.558233e-01   -1.212825e+01
  0.1200    1.796608e+02   -1.386480e+01   -2.055921e-02    5.104743e-02   -1.383431e+01
  0.1250    1.741120e+02   -1.300810e+01   -2.053807e-02   -7.282793e-01   -1.375691e+01
  0.1300    1.683914e+02   -1.244004e+01   -2.045675e-02   -1.396090e+00   -1.385658e+01
  0.1350    1.625046e+02   -1.411905e+01   -2.044550e-02   -5.113413e-01   -1.465083e+01
  0.1400    1.564574e+02   -1.683142e+01   -2.046369e-02    1.450773e+00   -1.540111e+01
  0.1450    1.502559e+02   -1.684855e+01   -2.022856e-02    1.763006e+00   -1.510577e+01
  0.1500    1.439060e+02   -1.416114e+01   -2.014828e-02   -8.528410e-01   -1.503413e+01
