#k       V[k]           j[k]             Z[k]          angle[k]        Z_Re[k]         Z_Im[k]
0    3.996803e-14    1.615412e-01    2.474170e-13   -3.141593e+00   -2.474170e-13   -3.029984e-29  
1    2.499897e+02    1.956027e+01    1.278049e+01   -1.517547e+00    6.802314e-01   -1.276237e+01  
2    5.786222e-15    1.237073e-01    4.677348e-14    1.598585e+00   -1.299600e-15    4.675542e-14  
3    4.807384e-14    1.049298e+00    4.581525e-14   -2.081917e+00   -2.241077e-14   -3.995991e-14  
4    3.842916e-14    3.576787e-02    1.074404e-12   -3.754050e+00   -8.791181e-13    6.176538e-13  
5    8.882346e-14    1.330410e-01    6.676397e-13    2.848974e-01    6.407275e-13    1.876461e-13  
6    6.495082e-14    4.734131e-02    1.371969e-12    9.551562e-01    7.922865e-13    1.120081e-12  
7    2.003945e-14    3.297772e-02    6.076663e-13    3.499325e+00   -5.691970e-13   -2.127749e-13  
8    9.785720e-15    5.455112e-02    1.793862e-13   -3.307220e+00   -1.769314e-13    2.957557e-14  
9    6.404746e-15    9.275410e-02    6.905081e-14   -4.819601e-01    6.118510e-14   -3.200621e-14  
10    4.051219e-14    4.527672e-02    8.947687e-13   -2.019568e+00   -3.882038e-13   -8.061692e-13  
11    3.330965e-14    4.749721e-02    7.012970e-13    4.512589e+00   -1.391888e-13   -6.873456e-13  
12    3.750533e-14    5.972284e-02    6.279897e-13    1.070522e+00    3.012258e-13    5.510301e-13  
13    1.208512e-14    5.356681e-02    2.256084e-13   -2.836409e+00   -2.151835e-13   -6.778815e-14  
14    1.103211e-13    5.903276e-02    1.868811e-12   -4.121277e-01    1.712337e-12   -7.485707e-13  
15    1.378868e-13    4.249623e-02    3.244684e-12    2.698996e+00   -2.932035e-12    1.389656e-12  
16    8.863224e-14    4.189831e-02    2.115413e-12   -5.001503e+00    6.031116e-13    2.027617e-12  
17    2.610931e-13    7.778103e-02    3.356771e-12    7.832401e-01    2.378712e-12    2.368468e-12  
18    1.699766e-14    8.693647e-02    1.955181e-13    4.634403e-01    1.748949e-13    8.740212e-14  
19    2.473896e-13    5.669651e-02    4.363401e-12   -2.226953e+00   -2.662008e-12   -3.457308e-12  
20    2.601336e-14    5.375929e-02    4.838858e-13    4.627014e+00   -4.126143e-14   -4.821234e-13  
21    2.559819e-13    7.906458e-02    3.237631e-12    2.723762e+00   -2.959102e-12    1.313762e-12  
22    7.939422e-14    7.187338e-02    1.104640e-12   -1.222530e+00    3.769796e-13   -1.038324e-12  
23    7.474069e-14    6.132743e-02    1.218716e-12   -6.715215e-01    9.541030e-13   -7.582579e-13  
24    7.809060e-14    5.043429e-02    1.548363e-12    4.939270e+00    3.482878e-13   -1.508683e-12  
25    6.884457e-14    4.100288e-02    1.679018e-12    2.232095e-01    1.637365e-12    3.716685e-13  
26    7.358292e-14    1.851651e-02    3.973909e-12   -6.008822e-04    3.973908e-12   -2.387851e-15  
27    4.422703e-13    6.267509e-02    7.056556e-12   -5.726889e-01    5.930660e-12   -3.823904e-12  
28    9.015257e-14    6.021071e-02    1.497285e-12    1.078760e+00    7.073499e-13    1.319666e-12  
29    7.397499e-13    5.187351e-02    1.426065e-11    5.201517e-01    1.237459e-11    7.087710e-12  
30    1.791157e-13    7.543958e-02    2.374293e-12    2.040704e-02    2.373799e-12    4.844894e-14  
31    1.670869e-13    3.356738e-02    4.977657e-12    1.405883e+00    8.171642e-13    4.910124e-12  
32    1.202763e-13    6.350095e-02    1.894086e-12   -1.055051e+00    9.341310e-13   -1.647714e-12  
33    3.818974e-14    5.161433e-02    7.399057e-13   -1.296878e-01    7.336922e-13   -9.568796e-14  
34    2.451952e-13    9.995627e-02    2.453024e-12   -2.808859e+00   -2.318483e-12   -8.012268e-13  
35    6.996343e-14    1.168078e-01    5.989619e-13    2.654175e+00   -5.292100e-13    2.805212e-13  
36    1.306870e-13    2.955759e-02    4.421435e-12    1.383529e+00    8.231603e-13    4.344133e-12  
37    1.550350e-13    2.079018e-01    7.457128e-13    3.434215e+00   -7.140130e-13   -2.151116e-13  
38    2.872159e-13    7.573058e-02    3.792601e-12    1.568319e+00    9.395116e-15    3.792590e-12  
39    1.580354e-13    8.938615e-02    1.768008e-12    3.037836e+00   -1.758500e-12    1.831133e-13  
40    2.878610e-13    8.744636e-02    3.291858e-12   -1.900105e+00   -1.064552e-12   -3.114973e-12  
41    2.595465e-13    9.060808e-02    2.864496e-12   -4.441378e+00   -7.668406e-13    2.759944e-12  
42    1.613686e-13    4.821304e-02    3.346990e-12    4.618107e+00   -3.150933e-13   -3.332125e-12  
43    2.922537e-13    7.133117e-02    4.097140e-12    1.182643e-01    4.068521e-12    4.834167e-13  
44    2.655735e-13    7.381966e-02    3.597599e-12    6.224608e-01    2.922855e-12    2.097530e-12  
45    7.959610e-14    1.272417e-01    6.255506e-13    2.363108e+00   -4.453785e-13    4.392625e-13  
46    2.696466e-13    1.036674e-01    2.601075e-12    3.705955e+00   -2.197726e-12   -1.391256e-12  
47    5.569690e-13    1.115399e-01    4.993451e-12    3.127392e+00   -4.992947e-12    7.090576e-14  
48    1.081958e-13    1.622876e-02    6.666917e-12    2.912655e+00   -6.492963e-12    1.513013e-12  
49    2.140909e-13    1.502591e-01    1.424812e-12   -2.927123e+00   -1.392169e-12   -3.032419e-13  
50    9.227242e-14    1.068731e-01    8.633832e-13    2.796409e+00   -8.124552e-13    2.921425e-13  
